tokens,tags
Generic,B-application
Image2PDF,B-function
user/main/update_settings,O
6.x-2.10,I-version
GET_WRAP_CFG_C,O
12.1,B-version
icecast,B-application
FAC_NATIONAL_DIGIS,O
2.0.10,B-version
NetObject,B-parameter
1.2_10,B-version
KRB5_KDB_DISALLOW_ALL_TIX,O
ProArcadeScript,B-application
Agent,I-application
daemon/cgrulesengd.c,B-file
CVE-2011-1932,B-cve id
kdelibs,B-application
distributions,O
1.3.3d,B-version
ReadDirectory,B-function
3.2.215.0,I-version
Bookmarkable,O
rehash,O
B.11.23,B-version
libs/smarty_ajax/index.php,B-file
setName,B-function
ARWScripts,B-vendor
7.1(5b)SU2,I-version
3.3.5,I-version
VirtualPCCenter,B-application
9.1.3,I-version
admin/categories.php,B-file
1.6.x,B-version
admin/components.php,B-file
EX,B-application
failover:tcp://,O
Milter,I-application
7.x-2.0,I-version
1.28.3,B-version
Bess,B-edition
CVE-2011-0107,B-cve id
Android,I-application
appendChild,B-method
0.9.6,B-version
3.2.x,I-version
Pro,B-application
introduces,O
Blog,B-application
html/System-Files.php,B-file
decode_band_hdr,B-function
net/econet/af_econet.c,B-file
os/pl-glob.c,B-file
SASS,O
slap_mods_free,B-function
code,B-relevant_term
logging,O
GetFile_Password,O
1.6rc3,B-version
player's,O
i_frames/i_register.php,B-file
2.7.3,B-version
2.3(1.31,I-version
tools/perf/util/config.c,B-file
8.3.23,I-version
disclosure/download,O
modURL,B-function
PRIO,O
-2,B-update
ibm-slapdIdleTimeOut,O
admin/editprefs.php,B-file
Groupwise,B-application
6.0.1,I-version
STEP7,O
2.6.38.4,I-version
WNASPI32.DLL,B-file
0.25.1,B-version
Scrutinizer,I-application
Calendar,I-application
0.94,B-version
cgi/index.php,B-file
arsc_user,B-parameter
Arora,B-application
admin/country/edit.php,B-file
KGDB,O
CVE-2011-1017,B-cve id
3.7.1,I-version
1.2.312,B-version
CSCtt94543,O
CSCtd75761,O
CVE-2013-0610,B-cve id
4.35,B-version
2.7.0,B-version
memory-related,O
proc_oom_score,B-function
CVE-2010-3303,B-cve id
0.2.3,B-version
sys_oabi_semtimedop,B-function
admin/gallery/gallery.php,B-file
7.4.00,B-version
Phoenix,B-application
knowledge,O
1.44,B-version
executing,O
todo.scheduleItems,B-method
strings,O
6.2.0.3-TIV-ITDS-IF0004,I-version
39,O
odt,O
0.6.0.x,B-version
troubleshooting/speedtest.asp,B-file
inserted,O
GNUstep,B-application
admin/agenteditor.php,B-file
scan_load_hosts,B-function
CVE-2012-2030,B-cve id
intarray,O
data/event/edit.php,B-file
gopherToHTML,B-function
wp-includes/comment.php,B-file
Pro-face,B-vendor
admin/health/,O
16.0,B-version
Embedded,B-application
isReported,B-parameter
"590G.GS00100),",O
3.1.1,I-version
VPN,I-application
CVE-2012-0115,B-cve id
CS5,B-update
6.0.196.0,I-version
otrl_proto_accept_data,B-function
INFILE,O
CSCte14603,O
location.hash,O
Sygate,B-application
xml_or_all,B-parameter
include/classes/Login.php,B-file
make_variant_list,B-function
CVE-2012-2874,B-cve id
3.0.1,B-version
tools/metadata.php,B-file
IMS,B-application
0.8.8.3,I-version
DGS,O
2.10.69,I-version
JAKCMS,B-application
CRL,O
4.24.00,B-version
Truworth,O
2.5.4.0,B-version
esoftpro,B-vendor
Keystroke,O
admin/code/tce_edit_answer.php,B-file
Center,I-vendor
holding_queue.php,O
2005,B-version
SA).,O
Deliver,B-application
COM,I-application
X5.0,I-version
0.8.5,B-version
jbpm-console,O
TAU,B-application
1.6.2.23,I-version
folder_level,B-parameter
Alto,I-vendor
3.0.0.4,B-version
frontend/models/techfoliodetail.php,B-file
lib/action_controller/vendor/html-scanner/html/sanitizer.rb,B-file
toString,B-method
1.0.7,B-version
Webmobo,B-vendor
p_creds.c,B-file
Heap,O
backup/moodle2/restore_stepslib.php,B-file
PWRS,O
torcs,B-application
vfprintf,O
Fotobook,B-application
r15.0,B-version
CVE-2012-2240,B-cve id
curl,B-vendor
admin/customer-edit.php,B-file
Bed,B-application
NetGear,B-vendor
php_variables.c,B-file
site,I-relevant_term
2.29.91,I-version
5.0.3,B-version
PreProjects,B-vendor
Centre,O
10.1.3.3.2,B-version
2007,B-version
xhtml,B-version
op-printer-list-all-jobs,O
gfxSkipCharsIterator::SetOffsets,B-function
modules/Documents/index.php,B-file
9.3.0.2,B-version
E0304,O
Crystal,B-application
CSCub38384,O
5.2.16,I-version
fs/btrfs/acl.c,B-file
10.1.4.3.0,B-version
mcrypt,B-application
manageprocess.php,O
CVE-2010-2187,B-cve id
dump_resource,B-function
Interstage,B-application
10.2.1,I-version
Stream,B-application
Express,I-version
2.2.14,B-version
GnashImage::size,B-method
CGI,I-application
Zope,B-vendor
10.1.1,I-version
2.6.32,I-version
components/com_user/controller.php,B-file
3.6.2,B-version
AIM,O
CVE-2013-2395,B-cve id
0x24C6,B-version
groupClause,B-parameter
User.isExistingUser,B-function
-network,B-update
SP_DEL_BAK_EXPIRED,O
statically,O
here,O
Integrity,B-edition
com.dolphin.browser,O
ProcessSuite,B-application
VR,B-application
Provisioning,B-application
PackStack,O
cry,O
clwarn.cgi.ru_RU,O
CVE-2012-4150,B-cve id
3.0.0-beta1,I-version
On-Demand,O
10.3.183.29,I-version
Privoxy,B-application
9.8.5b2,I-version
drivers/media/dvb/ttpci/av7110_ca.c,B-file
"8.1(2.44),",I-version
Verizon,B-vendor
TeamMate,B-application
OWB,O
4.0.25,I-version
UEC,O
6.1.12,I-version
bcm_connect,B-function
Smart,B-application
FreeRADIUS,B-application
0.5.x,B-version
11.1.111.9,I-version
8.0(2)SU3,I-version
Automne,B-application
kernel/signal.c,B-file
10.1.3.4.1,B-version
1.0.6,B-version
CVE-2012-0495,B-cve id
Japan,I-application
2.1.0.8,B-version
unauthenticated,O
"7.0(2),",I-version
process_perfdata.cfg,O
3.1.x,B-version
Webkatalog,I-application
11.6.8.638,I-version
9.0.0.11200,B-version
CVE-2009-0629,B-cve id
ProLiant,B-hardware
MSCOMCTL.OCX,O
Clock,O
"A2(1.6),",I-version
stable-2012-1-CIS3000,I-version
CVE-2012-0818,B-cve id
ospf6_lsa.c,B-file
cApexWEB,B-application
CSCtb47950,O
9.8.3-P3,I-version
3.0.629,I-version
SP6,I-version
DH,B-version
net/dccp/ccid.h,B-file
CakePHP,B-application
the,I-application
LWFN,O
13.1,B-version
CVE-2012-2031,B-cve id
Pack200,B-application
OmniFind,B-application
fs/hfs/trans.c,B-file
AssetManager,B-application
DKEN8PDNTX,O
TS100P002,B-version
slapd,O
WVC200,B-hardware
prevent,B-update
CVE-2011-1088,B-cve id
stating,O
CVE-2011-1577,B-cve id
Scadatec,B-vendor
SYMLINK,B-relevant_term
CVE-2005-2436,B-cve id
9.3.14.0,B-version
vnclang.dll,B-file
LPD,I-application
content/error.jsp,B-file
ajax/print.php,B-file
305006,O
1.0.11,I-version
1.4.2_35,B-version
0.1.0,B-application
ChemView,B-application
Rental,O
Resource,O
'.,O
CVE-2011-4898,B-cve id
FRAME,O
XOsoft,B-application
Aviosoft,B-vendor
3.12,I-version
admin/core/admin_func.php,B-file
2.99.0.10,I-version
common_startup.cc,O
4.5.15,I-version
Transcendent,O
job_iid,B-parameter
OJPEGPostDecode,B-function
PortRule_Name,B-parameter
XChat,B-application
5.4.0,I-version
StripTags,B-function
Panel,I-application
ImageMagick,B-application
Authplay.dll,O
2.6.36,B-version
RoomWizard,B-hardware
0.7.12,I-version
14,O
0.999928,I-version
print_textinputs_var,B-function
nsTextEditRules::WillInsert,B-function
CSCtw56581,O
Automation,I-application
1.7.2.x,B-version
5.5.5,I-version
BatchSecCtrl,O
OpenScriptAfterUp,B-parameter
Kaspersky,B-application
Access,I-application
NKInFoWeb,B-application
CVE-2009-3869,B-cve id
Argument,O
CVE-2010-1285,B-cve id
0.7.0,B-version
10.3.183.61,I-version
artifacts,O
6.0.5,I-version
map_meta_cap,B-function
ITSM,I-application
TERMIS,B-application
1.6.8,I-version
Seditio,B-application
11.3-8.9.1,I-version
6.0.03,B-version
CVE-2013-1463,B-cve id
RARs,O
belonging,O
loginhash_pwd,O
0.0.12,B-version
rsCStrExtendBuf,B-function
2.4.2,B-version
precision,B-update
CVE-2011-0621,B-cve id
whtt,O
dealer,O
"2011/""",B-version
calendar/new.php,B-file
2.2.3pre1,B-version
1.7.4p5-1.fc14,I-version
Ionix,B-application
9.0.597.84,I-version
5.1.0b,I-version
allow/block,O
CVE-2013-1369,B-cve id
views/admin.php,B-file
Social,I-application
Parameter,I-application
drivers/usb/core/devio.c,B-file
combination,O
EtherApe,B-application
Shortcut,O
wassup.php,O
glibc-2.12-1.7.el6_0.3,O
Integrator,I-application
screens/aaa/mgmtuser_create.html,B-file
1.3.6,B-version
rental_id,B-parameter
blindTarget,B-parameter
3.3.x,B-version
entire,O
Audit,I-application
phpMyFAQ,B-application
OnlineTechTools,O
12.4(24)MDA3,I-version
AltNames,O
ACM,O
odd,O
5C,B-version
9.1.0.4,B-version
Mgr,B-application
drivers/xen/pciback/conf_space_capability_msi.c,B-file
SmartCenter,O
Nokia,B-vendor
Witze,B-application
SP4,B-update
server/libvncserver/rfbserver.c,B-file
CSCtk53534,O
sav_filter_selectors,O
2142,B-version
iptm/faultmon/ui/dojo/Main/eventmon_wrapper.jsp,B-file
asking,O
phpAlbum,B-application
GP,B-application
fgfs/flightgear/src/Network/generic.cxx,B-file
pvm_messagestore.php,O
0.1.5444,I-version
programs/pluto/xauth.c,B-file
interval,O
rsslink,O
include/iniset.php,B-file
target_flag,B-parameter
CVE-2013-0418,B-cve id
CVE-2010-1576,B-cve id
IronJacamar,B-application
Scripti,I-application
11.6.602.167,I-version
uploadify/scripts/uploadify.php,B-file
97,O
DecryptWeb,B-vendor
net/tipc/socket.c,B-file
OCaml,B-application
autorisation_unique.class.php,O
epan/dissectors/packet-mac-lte.c,B-file
Type,I-application
vba_read_project_strings,B-function
6.1.1-TIV-AWS-FP0001,I-version
offsite,O
Engineering,B-application
Live,O
pseudo-elements,O
iconv,O
7.4.0,B-version
WVC210,B-hardware
organization's,O
Ripper,I-application
2.0.2,I-version
memc_save_get_next_page,O
Gen3,I-hardware
otrl_proto_data_read_flags,O
repetitions,O
XWiki,B-application
1.0.12.Final,I-version
formDOMAINBLK,O
batch,O
#_keepLastEvaluation,O
graph_templates_items.php,O
Lookout,B-application
6.4.0.1,I-version
23.4,I-version
8.4.16,B-version
04.170.3,I-version
Audio,I-application
List,O
CMAP,O
calling,O
4.6.3,I-version
utils/opcontrol,O
ActiveX,I-application
5.5.8,B-version
BizTalk,B-application
"4.0(10.1),",I-version
0.80.9.2,I-version
::$DATA,O
Addressbook,B-application
Import,O
AntiVirus,I-application
libraries/Error.class.php,B-file
MONARCH,B-application
preemptible,B-update
CVE-2011-5092,B-cve id
2011,B-version
RIFF,O
1.1(1j,I-version
AccountName,O
SonicWALL,B-vendor
Bridges,O
CVE-2011-1578,B-cve id
src/imgContainer.cpp,B-file
7.51,B-version
library/class.backup.php,B-file
correct,O
MediaFront,B-application
15.01.00,B-version
libresolv,O
1.10.2,I-version
dbdimp.c,O
get_sos,B-function
ForceChangePassword.jsp,O
Template.pm,B-file
MSM8960,B-hardware
2.4.6,I-version
9.2.3,I-version
3.5.2,I-version
libcmd,O
AH-K3002V,B-hardware
WSC,B-application
0x0003,B-version
Vector,O
SoftLogix,B-hardware
vsftpd,B-application
loaded,O
Members,B-edition
2.31.5,B-version
LXR,B-application
Subject,O
availability,O
pdfmoz_onmouse,B-function
pixie_user,B-parameter
TeamViewer,B-application
FirePass,B-hardware
PEAR,O
Elite,I-application
ProcRenderAddGlyphs,B-function
CSCta79031,O
Perl,O
BufCompressedFill,B-function
SQL,B-PL
tenants,O
sync_agent,O
6.1.3.x,B-version
6.00,I-version
1.01,B-version
3.01.012,I-version
1.4.20,I-version
CVE-2010-1759,B-cve id
pairs,O
15.0.874.121,I-version
MK,B-application
20.0.0,B-version
pam_parse_in_data_v2,B-function
hang,O
5.6.x,B-version
CVE-2013-0426,B-cve id
ShareThis,B-application
4.0.0rc4,I-version
ReleaseInterface,B-function
X-Cart,B-application
roaraudio,B-application
admin/edit.php,B-file
PrettyFormMail,B-application
microprocessor,O
Communication,I-application
ls.c,B-file
etemplate/process_exec.php,B-file
SearchFor,B-parameter
scheduleID,B-parameter
BigAnt,B-application
3.5.3900.10,I-version
global-protect/login.esp,B-file
fwupgrade,O
Banking,O
4.6.3,B-version
dvb_ca_ioctl,B-function
product-sort.php,O
ICQ,O
uc_views,O
Target,I-application
MC,O
3.3.2,I-version
JAVA,O
epan/dissectors/packet-sflow.c,B-file
ape/apeproperties.cpp,B-file
routerparse.c,B-file
command,I-relevant_term
CVE-2010-4543,B-cve id
11/11.1,B-file
pfile/kommentar.php,B-file
5.1.3,B-version
num_mode,B-parameter
sysrq_sysctl_handler,B-function
8.50.21,B-version
Standard,B-edition
node.innerHTML,O
lighttpd,B-application
auth_provider,O
puppet,B-application
MSComctlLib.ListViewCtrl.2,O
cdc-wdm,O
Vision,B-hardware
Cyrus,B-application
CONF_INCLUDE_PATH,B-parameter
showOldPage.yaws,O
2.6.11.2,I-version
WinLicense,B-application
phpRAINCHECK,B-application
12.01,I-version
wpcap.dll,B-file
tcptrack,B-application
re-enabled,O
Catalyst,O
SST,O
author,O
CVE-2005-3534,B-cve id
Responsive,B-application
startActivity,B-function
lanoba-social-plugin/index.php,B-file
Diagnostics,I-application
1.0.3,B-version
LiteSpeed,O
WSN,B-application
1.24,B-version
scrolling,O
get_packet,B-method
image2,O
serializing,O
net/bluetooth/l2cap_sock.c,B-file
Dealer,I-application
1.424.x,B-version
Bookmark,I-application
rotor,B-application
Ubermedia,B-vendor
AngelServer.exe,O
0.4.3.1,B-version
substr(),O
3.1.1,B-version
Creative,B-application
mailserver,O
net/sctp/output.c,B-file
109,O
prexport,B-update
12.2(33)SXJ1,I-version
includes/spamping.php,B-file
Configuration,B-relevant_term
6.1.5.1,B-version
Ultimate,O
ADManager,I-application
AD,O
reqclass,O
emacs/notmuch-mua.el,B-file
RAC,O
Best,B-vendor
Blade,O
libvirt,B-application
net/bridge/netfilter/ebtables.c,B-file
Zamboni,B-application
occupies,O
boolean,O
Authenticator,B-application
3.0-IM-S3SAMPC-WIN32-FP001,I-version
CVE-2011-2115,B-cve id
wp-comments-post.php,O
CVE-2012-2784,B-cve id
JavaFX,B-application
UID,O
10g,B-version
"7.2(5.7),",I-version
1.0.2.53,I-version
Latitude,O
2.8.12,I-version
8.0.3,I-version
0.4.1,I-version
tga,O
UTStats,B-application
forensics/base_qry_main.php,B-file
6.3,I-version
block/scsi_ioctl.c,B-file
11.5.9.620,I-version
0x04,B-version
4.2.4,B-version
USB,I-application
Endian,B-vendor
3.3.xS,B-version
"8.6(1.1),",I-version
report_incidents_by_engineer.php,O
acl_get,B-function
XSE,B-application
/tmp/idmInstall.log,B-file
zc-error,O
fusermount,O
MetaBrokers,O
CVE-2007-0086,B-cve id
26.30,I-version
passwords,O
/opt/rv/Versions/CurrentVersion/Mcu/Config/Mcu.val,B-file
TANDBERG,B-application
Air,I-application
4.1.5,B-version
function.php,O
CVE-2011-0457,B-cve id
mshtml!CDisplay,O
data/Smarty/templates/default/list.tpl,B-file
3.03,I-version
8.1.0,B-version
Dolphin,B-application
urlbanner,O
1.22,B-version
2.32,B-version
Jabber,B-application
Bootable,B-application
do_tmem_op,B-function
5.5.30,I-version
4.2(1)SV1(5.1,I-version
Install/Filesystem.pm,B-file
dracut.sh,O
router,I-hardware
Dupehunter,B-application
sla/index.php,B-file
Cgi/confirm.py,B-file
14.1.0,B-version
net/ipv4/tcp.c,B-file
sync,O
mod/wiki/pagelib.php,B-file
magic-portal,B-application
themes/default/page.tpl.php,B-file
1.7.10p5,I-version
ACE,B-application
1.2.7,I-version
Gold,I-application
0.96,B-version
Locator,O
MobileQQ,B-application
Book,I-application
1.06,B-version
Encoders,O
2.1.6,I-version
CVE-2011-2437,B-cve id
CS3,B-version
1.5.26,I-version
push,O
2.1.8,I-version
10.1.4,B-version
ModX,O
system/libraries/Environment.php,B-file
WW8,O
location.href,O
ProcessInstruction,O
plugins/DPGguestbook/guestbookaction.php,B-file
Ziyaretci,B-application
gfx/layers/d3d10/ReadbackManagerD3D10.cpp,B-file
DiagTraceHex,B-function
HTTP,B-application
files_versions/ajax/rollbackVersion.php,B-file
10.10,B-version
Inventory,B-application
1.5.1,B-version
v9.00,B-version
DeploymentManager,I-application
include/asm-x86/futex.h,B-file
Ardour,B-application
ACDSee,B-vendor
session,O
Ecava,B-vendor
DataURL,B-parameter
2.3.20,B-version
setseed-hub,O
calendar/edit.php,B-file
SecureRandom.random_bytes,B-function
5.3.9,B-version
5.x,B-version
php%00.jpg,B-update
Broker,I-application
Icon,O
Gecko,O
GNOME,B-vendor
0x44,B-version
CVE-2013-1540,B-cve id
iOS,B-os
PL7,B-application
CVE-2011-0018,B-cve id
CVE-2011-2416,B-cve id
startDocumentLoad,B-function
admin/config.php,B-file
logon.do,O
dispatch_cmd,B-function
BBCODE,O
post_url/edit,O
regset,O
1.97,B-version
zipcode,O
phpPgAdmin,B-application
2.2.18,I-version
DSL-2640B,B-os
Scope,O
Personal,B-application
CVE-2010-2897,B-cve id
RU2,I-version
3.0.20,I-version
5.4.6,B-version
TMEMC_SAVE_GET_CLIENT_FLAGS,O
11.62,I-version
11in1,B-application
Names,O
02-53,B-version
returnaction,O
ASLR/DEP,O
osDate,B-application
Dropbear,B-application
CVE-2011-2179,B-cve id
2.23.3,B-version
0xFFFFFF88,B-version
read_block,B-function
Chrony,B-application
CyanogenMod,B-os
6.0.2.145,I-version
iptm/PRTestCreation.do,B-file
misc/mntent_r.c,B-file
2.6.33,I-version
6.2,I-version
Check,O
2,I-version
6.x-2.x,B-version
WebObjects,B-application
CVE-2006-7250,B-cve id
SiPass,B-application
11.2.202.243,I-version
supplied,O
3.0.0-beta6,I-version
5.1.53,B-version
R27.6.5,B-version
31.030,B-version
5.3.6.10,I-version
2.6.35.x,B-version
PowerEasy,B-vendor
wp_create_nonce,B-function
Aimluck,B-vendor
PowerVR,O
Policy,I-application
One,I-application
SmartFTP,B-application
8.2.18,I-version
4.1.249.1036,I-version
17.0.6,I-version
P1,B-update
1.11.6,I-version
Webservices,O
5.1.0.13,I-version
Suite,I-os
3.6.2,I-version
15,O
index.asp,O
VanDyke,B-vendor
Deployment,B-application
CVE-2011-3416,B-cve id
Wget,B-application
K2000,I-hardware
StatPressCN,B-application
CVE-2012-1599,B-cve id
ZDI-CAN-1214,O
2.0(1w,I-version
IAC,O
2.0.50727,B-version
DirectAdmin,B-application
admin/login.asp,B-file
1.6.6,B-version
0.8.0b,B-version
SHA,O
PyCrypto,O
phpMyAdmin,B-application
Pattern,B-application
input_userauth_passwd_changereq,O
1.111,B-version
InBatch,I-application
3.6.0,I-version
ILS,O
OCS,B-application
account/preferences.php,B-file
psPrice,B-parameter
Traversal,I-relevant_term
getGreetings,B-function
CVE-2011-0620,B-cve id
forum/register.php,B-file
30,B-version
phpaaCms,B-application
STST,O
Versatile,I-application
12.0.5,I-version
Job,B-application
E-Learning,B-version
dissection,O
7.3-2,B-version
index.php/Admin_Preferences,O
11.12.24,I-version
RichText,O
0.5.0rc,B-version
defaultColor,B-parameter
presents,O
struts-examples/upload/upload-submit.do,B-file
4.1(7,I-version
R6,B-version
ownCloud,B-application
9.17,B-version
1.2.12,I-version
That,O
CVE-2011-1772.3,B-cve id
axis2,B-application
0.9.8h,B-version
SRP541W,I-hardware
CVE-2010-4187,B-cve id
mp2t_process_fragmented_payload,B-function
StreamTitle,O
vBSEO,B-application
backend/dvi/mdvi-lib/afmparse.c,B-file
tor_realloc,B-function
6.1.3.6-AirGroup,I-version
Micro-Blogging,B-version
websockets/WebSocketHandshake.cpp,B-file
Citibank,B-vendor
Guacamole,B-application
mm/mmap.c,B-file
Xinha,B-vendor
@,O
Board,I-application
Bookmarks,B-application
Battlefield,B-application
lib/logmatcher.c,B-file
8.1.0.a,B-version
r2,O
drivers/net/ethernet/dlink/dl2k.c,B-file
Voice,I-hardware
ZDI-CAN-1662,O
3.8.1.6,B-version
ClientCert-Subject-CN,O
Solutions,I-vendor
sinister-looking,O
02-00-/D,I-version
2.2.6,B-version
db_structure.php,O
3.8.2,I-version
Portable,I-application
lib/banners/bannerlib.php,B-file
modular,O
HotWebScripts,B-vendor
CVE-2011-4155,B-cve id
0.103,B-version
8.4.1,B-version
Iomega,B-vendor
InnoDB,O
webservices,O
d_atabase/Krmdb.mdb,B-file
Moneris,B-vendor
cisco/services/PhonecDirectory.php,B-file
2.5.03,B-version
css/gallery-css.php,B-file
BlazeDS,B-application
1.8.001.20110805,I-version
datemin,O
"8.4(4.4),",I-version
Zips,O
ypncat_id,B-parameter
Litchfield,O
SP,O
Unijimpe,B-vendor
7.x-2.9,I-version
manageusers.php,O
11.12.08,I-version
help/frameRight.php,B-file
CPR9,B-update
2.0.4,I-version
StorCenter,B-hardware
unstable,B-language
2009-005,B-version
Control,O
openUrgence,B-application
libxslt/functions.c,B-file
Tycoon,B-vendor
RC5,B-update
examples/show_code.php,B-file
reverse_proxy_header,B-parameter
Eros,B-application
GPub,I-application
custom_text,B-parameter
default_create.log,B-file
f_email,B-parameter
HAProxy,B-application
Roles,I-application
11.0.9,B-version
others,O
supportutils,O
StoryBoard,B-application
43,B-version
CoCSoft,B-vendor
EDM,I-application
Lab,I-application
nuBuilder,B-application
perf,O
Hotel,I-application
DeleteFilter,O
0.9.11,B-version
JavaVM,B-application
Link,I-application
ip_evictor,B-function
modules/codec/subtitles/subsusf.c,B-file
DLGuard,B-application
unixODBC,B-application
4.1.10329,I-version
2.1.2,B-version
F-Prot,B-application
iterate,O
3.0.3,I-version
5230,O
admin/editors/text/editor-body.php,B-file
data-link,O
29,B-version
10.6.2425.1208,B-version
WRT54GX,B-hardware
BugTracker.NET,B-application
Appliance,I-hardware
KeyView,B-application
5.2SP1,I-version
crypto/bn/bn_nist.c,B-file
Mirroring,I-application
DBSite,B-application
PKZIP,B-application
pkz,O
Payroll,B-application
zak_store_management,O
CVE-2009-2408,B-cve id
Meetings,I-application
Dart,B-vendor
HncJpeg10.flt,O
llcp_sock_recvmsg,B-function
1.2.4-0.5.1,I-version
WL-153,B-hardware
inc/poll_vote.php,B-file
CVE-2012-0324,B-cve id
cloneNode,B-method
"8.2(5.18),",I-version
__pmDecodeProfile,B-function
1.16.3,I-version
leverage,O
1.16,B-version
pages/match_report.php,B-file
WebServer,I-application
wnaspi32.dll,B-file
CVE-2011-0447,B-cve id
3.2.845,B-version
1.09,B-version
0.9.8q,I-version
3.9.1,B-version
pages/contact_list_mail_form.asp,B-file
community/calendar.jsp,B-file
10.2.1.0,B-version
5.0(3)U1(2a,I-version
admin-history.asp,O
bookmarks/js/bookmarks.js,B-file
6.0a4,B-version
cHRM,O
P2,I-version
Banshee,B-application
2.0.14,B-version
CSCue36672,O
fa_default.asp,O
AlegroCart,B-application
1.14.31,I-version
CVE-2008-1182,B-cve id
represent,O
11.1.0-HF3,I-version
3.20110328,I-version
06-01-/A,I-version
CSCtr44645,O
Tube,B-application
6.0.4,B-version
libexif,B-application
headerLoad,B-function
Distributed,B-application
Contao,B-application
CBE,O
Save,O
6.3,B-version
mpg,O
CVE-2013-0638,B-cve id
util.c,O
3.15.1,B-version
Pascu,I-vendor
UIX,B-application
SONG,O
CSCta31358,O
MultiLink,B-application
hvc_open,B-function
1.8.3,B-version
LetoDMS,B-application
CVE-2010-3647,B-cve id
1000V,B-version
Outbound,O
"8.0(5.19),",I-version
Smokeping,B-application
AssetExplorer,B-version
Power2Go,B-application
HTML/QuickForm.php,B-file
4.1.2-P1,I-version
NGX,B-version
uninitialized,O
arch/x86/traps.c,B-file
virSecurityManagerGetPrivateData,B-function
Analytics,I-application
Field,B-application
Cartridge,I-application
8.0(2,I-version
1.9.6,B-version
4.2.1,I-version
5.0.462,B-version
Citi,B-application
ZABBIX,B-application
mdb-symbolreader,O
/var/run/starter.pid,B-file
gfxShapedWord::CompressedGlyph::IsClusterStart,B-function
CommandLine,O
CSCte61710,O
GetPrinterURLList2,B-method
late,O
fsockopen,O
dissect_diagnosticinfo,O
FP45,I-version
1.0.1.1,B-version
D2D,B-version
10.6.4,I-version
sub_401A90,O
JavaScript,B-PL
Removal,O
Cowbell,B-application
Primavera,B-application
Advisories/UIs,I-application
v1,B-version
eBay,B-application
Updater.exe,O
5.11,I-version
encoded,O
VCPUs,O
Booking,I-application
Viewer,O
Access,I-hardware
/tmp/puppetdoc.tex,B-file
3.1-ESV-R1,I-version
TSA_maintenance.exe,O
admin/changedata.php,B-file
CVE-2013-1164,B-cve id
Ladders,I-application
NEC,B-vendor
xmldecl_done,B-function
channels/chan_sip.c,B-file
put_dir,B-function
"""%c0.%c0",O
modules/plugin/base/src/nsNPAPIPlugin.cpp,B-file
P4xxx,O
ldns_rr_new_frm_str_internal,B-function
OLE32,B-application
OmniVista,B-application
commons_discussion_views_default_views,B-function
epan/dissectors/packet-xtp.c,B-file
Magica,O
AJP,O
-,B-version
ext/phar/dirstream.c,B-file
Reporter,B-application
Storm,I-hardware
Business,O
EdrawSoft,O
1.24.4,B-version
5.0,B-version
CVE-2013-3328,B-cve id
CipherSuite,O
admin_user/mod_admuser.php,B-file
Story,O
includes/templates/template_default/common/tpl_header_test_info.php,B-file
lpd.exe,O
redirect.php,O
connector,O
SQLAlchemy,B-application
violates,O
Routing,I-hardware
git,O
Wizard,I-application
mpeg_decode_frame,B-function
Minimalist,I-application
main/utils.c,B-file
epan/dissectors/packet-zbee-zcl.c,B-file
4.0.3,I-version
1.98.1,I-version
1.5.0,I-version
FlexGrid,B-application
4.2.2833,I-version
3.3.9.2,I-version
PhpMyLogon,B-application
0x96,B-version
GraphicsClone,B-application
our,O
0.9.5,I-version
dar,O
3.1-ESV,B-version
We,O
man2html,B-application
overload,O
alpha,B-update
0.2.6,I-version
16,B-version
3.5.8,B-version
unaligned,O
US-based,O
ABR,O
7.1.1.63,B-version
AdRotate,B-application
2.0.3,B-version
mobile,I-application
blogName,B-parameter
1.8.15rc1,B-version
confused,O
4.0.60831,I-version
difs/events.c,B-file
seeds,O
11.31,B-version
com_orgchart,O
silc_channel_message,B-function
objectassisten_US.dll,B-file
6.2.1.5,I-version
9.0.0.0,I-version
8.51,B-version
2.0.0-b4,I-version
ActionScript,B-method
ResetHandler.java,O
Bridge,I-application
3.6.1,I-version
Chipsets,O
apps/bookmarks/ajax/updateList.php,B-file
"4.3(2.30),",I-version
3.x,B-version
Yamaha,B-vendor
3.3.12,I-version
2.4.31,B-version
action/SlideShow.py,B-file
All,O
grant,O
CSCts10195,O
2.0.5.1,B-version
SetLogFilePath,O
CGIHTTPServer.py,O
2.0.1,B-version
dissect_version_5_and_6_primary_header,B-function
system/admin/dash_additem.php,B-file
ActiveMatrix,B-application
11.1.111.8,I-version
user_id,B-parameter
forcibly,O
RTC,O
cal_first_hour,O
GRC,O
2.03,B-version
0.9.8h,I-version
BETA2,B-update
Irssi,B-application
c1sizer,O
SynConnect,B-application
7.1(5b)su4,I-version
GPT,O
8.1,B-version
4.32,I-version
Hero,O
Sybase,B-vendor
edit_category_post,O
"8.2.10-3),",I-version
lib/image.h,B-file
CSCtd64417,O
__skb_recv_datagram,B-function
3.0,B-version
TeXML,O
dof,O
0.742,B-version
schd_select1,B-parameter
Maketext.pm,B-file
include/admin/device_admin.php,B-file
server/protocol.c,B-file
name_maiden,B-parameter
Sametime,B-application
8.4.18,I-version
attacker,I-relevant_term
Outside,B-application
Convergence,O
Impact,B-application
CMNC-200,B-hardware
FileNameAttach,B-parameter
emulating,O
plug-ins/common/psd.c,B-file
27,B-version
